epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0265,1.20598,3.02854,1.3314,0.00283,1,0.79059,0.5659,0.95961,3.55018,0.96688,0.00052,0.00052,0.00052
2,18.849,1.17346,2.0858,1.18038,0.00283,1,0.824,0.58423,1.03142,3.72287,1.03065,0.00103901,0.00103901,0.00103901
3,28.3427,1.20221,2.03698,1.27627,0.51688,0.29412,0.37244,0.27789,0.99109,3.77314,1.21962,0.00153664,0.00153664,0.00153664
4,36.4143,1.15502,1.80803,1.25666,0.81947,0.80186,0.88282,0.62692,1.13715,2.88409,1.52689,0.0018812,0.0018812,0.0018812
5,46.0706,1.15536,1.52027,1.25981,0.05282,0.64706,0.04712,0.03143,1.11969,8.27938,1.28591,0.0018416,0.0018416,0.0018416
6,55.8743,1.10474,1.34664,1.22926,0.8872,0.94118,0.94516,0.70147,1.04098,2.22108,1.29565,0.001802,0.001802,0.001802
7,64.6845,1.05557,1.23138,1.18474,0.78299,0.88235,0.83001,0.57193,1.18669,1.52573,1.36613,0.0017624,0.0017624,0.0017624
8,75.5934,1.03209,1.07859,1.17263,0.94093,0.9372,0.9275,0.64472,1.13815,1.26787,1.32206,0.0017228,0.0017228,0.0017228
9,84.0095,1.05145,1.06081,1.18985,0.93375,0.94118,0.89646,0.56665,1.23371,1.83427,1.41627,0.0016832,0.0016832,0.0016832
10,93.7137,0.98069,0.9632,1.14698,0.73936,0.8348,0.82413,0.50358,1.19201,2.30123,1.42105,0.0016436,0.0016436,0.0016436
11,104.445,1.05672,0.97954,1.17339,0.73337,0.88235,0.82142,0.5669,1.14839,1.64889,1.35806,0.001604,0.001604,0.001604
12,111.956,0.93946,0.84813,1.1114,0.88875,0.93994,0.9407,0.67108,1.0155,0.94661,1.22395,0.0015644,0.0015644,0.0015644
13,122.303,0.92975,0.82917,1.10906,0.95449,0.94118,0.945,0.70412,0.88967,0.73391,1.17607,0.0015248,0.0015248,0.0015248
14,131.567,0.93938,0.78662,1.11745,0.93192,0.94118,0.93794,0.74645,0.88789,0.90152,1.18837,0.0014852,0.0014852,0.0014852
15,141.155,0.95815,0.79446,1.1281,0.94932,0.88235,0.94855,0.61274,1.16458,0.98649,1.41905,0.0014456,0.0014456,0.0014456
16,151.882,0.94646,0.77069,1.13117,1,0.93391,0.94822,0.69164,0.95948,0.84662,1.1728,0.001406,0.001406,0.001406
17,160.195,0.8957,0.71527,1.08858,0.98848,0.94118,0.947,0.70146,0.92823,0.70146,1.18104,0.0013664,0.0013664,0.0013664
18,169.778,0.94545,0.73796,1.10486,0.97531,0.82353,0.93093,0.56226,1.24611,0.97513,1.41131,0.0013268,0.0013268,0.0013268
19,179.361,0.90056,0.72176,1.10877,0.93995,0.92161,0.97842,0.55088,1.35326,0.8142,1.50889,0.0012872,0.0012872,0.0012872
20,188.583,0.8552,0.70521,1.06838,0.82681,0.94118,0.91712,0.67748,1.0117,0.99213,1.24093,0.0012476,0.0012476,0.0012476
21,197.98,0.90234,0.71895,1.11782,0.93213,0.94118,0.93794,0.73492,0.83001,0.68275,1.11673,0.001208,0.001208,0.001208
22,206.754,0.81128,0.60231,1.04025,0.97754,0.94118,0.94947,0.68089,1.00076,0.83301,1.20394,0.0011684,0.0011684,0.0011684
23,216.599,0.81718,0.63117,1.04645,0.93232,0.94118,0.94801,0.68355,0.95312,0.65781,1.19733,0.0011288,0.0011288,0.0011288
24,226.356,0.8449,0.67141,1.07172,0.87812,0.88235,0.93391,0.68973,0.85994,0.72245,1.12595,0.0010892,0.0010892,0.0010892
25,234.571,0.79637,0.57647,1.03651,0.93586,0.85922,0.93178,0.71894,0.89477,0.73145,1.1294,0.0010496,0.0010496,0.0010496
26,245.034,0.75725,0.57727,1.01147,0.99029,0.94118,0.9497,0.66478,1.11799,0.68783,1.31647,0.00101,0.00101,0.00101
27,253.849,0.76602,0.58926,1.02318,1,0.87527,0.95822,0.71165,0.91463,0.72637,1.21533,0.0009704,0.0009704,0.0009704
28,264.094,0.78032,0.62072,1.02176,0.93158,0.94118,0.96803,0.71926,0.88105,0.59045,1.1442,0.0009308,0.0009308,0.0009308
29,273.571,0.79407,0.58622,1.06073,0.99269,0.94118,0.97769,0.70146,0.97329,0.571,1.26983,0.0008912,0.0008912,0.0008912
30,281.93,0.77007,0.57012,1.04079,0.99134,0.94118,0.945,0.6566,1.05789,0.64563,1.33347,0.0008516,0.0008516,0.0008516
31,291.992,0.71545,0.55745,1.00652,0.99244,0.88235,0.93071,0.69063,0.91196,0.68424,1.19459,0.000812,0.000812,0.000812
32,301.549,0.74264,0.54711,1.00963,1,0.94086,0.97769,0.71375,0.94695,0.53749,1.18241,0.0007724,0.0007724,0.0007724
33,311.403,0.71697,0.60712,1.01272,0.98851,0.88235,0.933,0.70992,0.96127,0.58939,1.20037,0.0007328,0.0007328,0.0007328
34,321.868,0.71311,0.526,0.99069,0.93277,0.88235,0.925,0.66506,1.01022,0.68667,1.2777,0.0006932,0.0006932,0.0006932
35,329.672,0.71451,0.49455,1.00881,0.98375,0.94118,0.97242,0.73796,0.8514,0.53889,1.16339,0.0006536,0.0006536,0.0006536
36,340.033,0.69708,0.50183,0.97679,0.9154,0.94118,0.97295,0.68248,0.93402,0.58332,1.27566,0.000614,0.000614,0.000614
37,348.438,0.72434,0.51463,0.9999,0.99022,0.94118,0.96389,0.65893,1.04146,0.5688,1.33162,0.0005744,0.0005744,0.0005744
38,358.465,0.74251,0.49758,1.01259,0.99376,0.94118,0.96477,0.7104,0.90033,0.53072,1.23648,0.0005348,0.0005348,0.0005348
39,368.244,0.6873,0.50234,0.98155,0.99598,0.94118,0.95395,0.68314,0.9496,0.5806,1.26684,0.0004952,0.0004952,0.0004952
40,376.889,0.68135,0.49039,0.98715,0.97392,0.88235,0.96194,0.71717,0.82066,0.56428,1.17915,0.0004556,0.0004556,0.0004556
41,389.353,0.63789,0.47122,0.9783,0.99484,0.88235,0.9785,0.72828,0.90117,0.6299,1.24534,0.000416,0.000416,0.000416
42,398.973,0.61498,0.47015,0.97789,0.98074,0.88235,0.96409,0.71462,0.86008,0.54606,1.20973,0.0003764,0.0003764,0.0003764
43,406.904,0.61657,0.4096,0.96375,0.93317,0.94118,0.98195,0.71591,0.82333,0.49496,1.18189,0.0003368,0.0003368,0.0003368
44,416.785,0.59552,0.42638,0.96088,0.99443,0.88235,0.97843,0.68609,0.87394,0.52137,1.23053,0.0002972,0.0002972,0.0002972
45,424.297,0.56844,0.38073,0.94655,0.93695,0.94118,0.98011,0.72155,0.8354,0.52435,1.17077,0.0002576,0.0002576,0.0002576
46,433.755,0.58922,0.39005,0.98311,1,0.93706,0.98364,0.71953,0.82232,0.48007,1.17339,0.000218,0.000218,0.000218
47,443.326,0.55563,0.38598,0.95843,1,0.93984,0.9875,0.72244,0.80982,0.47095,1.18068,0.0001784,0.0001784,0.0001784
48,452.396,0.54939,0.36715,0.96519,0.99843,0.94118,0.98364,0.72066,0.82208,0.45837,1.20915,0.0001388,0.0001388,0.0001388
49,462.833,0.55863,0.38184,0.9573,0.99716,0.94118,0.98548,0.73109,0.78502,0.41941,1.18541,9.92e-05,9.92e-05,9.92e-05
50,471.03,0.53486,0.33833,0.94122,0.99659,0.94118,0.98548,0.73589,0.75359,0.41191,1.16937,5.96e-05,5.96e-05,5.96e-05
