epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.402,1.06139,7.766,0.00906,0.00256,0.92,0.57074,0.43788,0.80005,14.1234,0.0074,0.000647059,0.000647059,0.000647059
2,29.157,1.16957,6.4611,0.00996,0.85516,0.59055,0.77144,0.55187,1.11661,12.7942,0.01058,0.00128771,0.00128771,0.00128771
3,43.6467,1.14816,4.75145,0.01018,0.67518,0.41583,0.549,0.33812,1.25351,10.6886,0.01241,0.00190197,0.00190197,0.00190197
4,57.4029,1.17438,3.84931,0.01001,0.5568,0.6,0.63538,0.38758,1.34667,7.91927,0.01347,0.0018812,0.0018812,0.0018812
5,71.6456,1.15083,3.08117,0.00975,0.67691,0.72,0.7493,0.5629,0.98365,5.11973,0.00914,0.0018416,0.0018416,0.0018416
6,86.0861,1.09501,2.42839,0.00923,0.76074,0.84,0.82356,0.53618,1.26219,3.79806,0.01323,0.001802,0.001802,0.001802
7,99.9192,1.12473,2.06024,0.00955,0.83272,0.79655,0.842,0.53798,1.19483,3.15201,0.01192,0.0017624,0.0017624,0.0017624
8,113.785,1.08647,1.67928,0.00934,0.77387,0.75299,0.82908,0.56175,1.19447,2.59003,0.01126,0.0017228,0.0017228,0.0017228
9,126.931,1.06232,1.4161,0.00922,0.8278,0.76,0.86114,0.62282,1.00447,2.13845,0.00976,0.0016832,0.0016832,0.0016832
10,140.781,1.02042,1.24337,0.00867,0.88363,0.75932,0.86401,0.6355,1.05513,1.59733,0.01023,0.0016436,0.0016436,0.0016436
11,154.504,1.00239,1.08115,0.00871,0.77793,0.74,0.81484,0.62319,0.91567,1.49783,0.00868,0.001604,0.001604,0.001604
12,168.016,1.00529,1.0953,0.00863,0.86993,0.80265,0.8971,0.67548,1.02509,1.21111,0.00955,0.0015644,0.0015644,0.0015644
13,182.283,0.93233,0.87813,0.00779,0.86926,0.82,0.89248,0.67497,0.93209,1.18417,0.00915,0.0015248,0.0015248,0.0015248
14,196.154,0.96064,0.83772,0.00855,0.89773,0.9,0.93917,0.69856,0.92093,1.02889,0.00866,0.0014852,0.0014852,0.0014852
15,210.569,0.95522,0.80368,0.0088,0.88293,0.75428,0.82706,0.59937,1.05376,1.22754,0.01,0.0014456,0.0014456,0.0014456
16,224.5,0.92351,0.75519,0.00784,0.91895,0.8,0.88327,0.6403,1.0177,1.14325,0.00931,0.001406,0.001406,0.001406
17,238.38,0.97914,0.72307,0.00817,0.91807,0.89654,0.9241,0.66483,1.01733,0.9064,0.00958,0.0013664,0.0013664,0.0013664
18,252.208,0.94499,0.68326,0.00793,0.90356,0.86,0.94066,0.70152,0.95677,0.82777,0.009,0.0013268,0.0013268,0.0013268
19,266.935,0.97196,0.64571,0.00835,0.95625,0.87434,0.9348,0.69601,0.94664,0.81226,0.00906,0.0012872,0.0012872,0.0012872
