epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4623,1.07433,8.34541,0.00807,0.00267,0.9697,0.34713,0.24704,0.77802,15.7251,0.00729,0.00044,0.00044,0.00044
2,18.1797,1.10767,7.46252,0.00883,0.00217,0.78788,0.50191,0.22785,1.09009,15.833,0.01109,0.00088218,0.00088218,0.00088218
3,28.0791,1.18514,6.37576,0.00945,0.66764,0.73055,0.8247,0.54546,1.18398,13.9601,0.0117,0.00130614,0.00130614,0.00130614
4,36.7502,1.1057,4.9549,0.00882,0.78099,0.75648,0.71416,0.49782,1.08854,11.3711,0.01067,0.00171189,0.00171189,0.00171189
5,46.3727,1.16608,4.35337,0.00887,0.73693,0.76415,0.79529,0.54212,1.1049,9.49965,0.01117,0.0018416,0.0018416,0.0018416
6,56.2695,1.17576,3.66606,0.00917,0.80518,0.69697,0.81541,0.51614,1.33417,7.90433,0.01316,0.001802,0.001802,0.001802
7,64.0546,1.14101,3.30709,0.00889,0.75602,0.65751,0.72883,0.4435,1.29569,6.49609,0.01282,0.0017624,0.0017624,0.0017624
8,73.9508,1.18654,2.69499,0.00913,0.68671,0.72727,0.76633,0.50602,1.29037,5.30503,0.01381,0.0017228,0.0017228,0.0017228
9,82.8498,1.05803,2.36171,0.00834,0.85218,0.87359,0.87671,0.54542,1.44116,4.63249,0.01632,0.0016832,0.0016832,0.0016832
10,91.8364,1.09525,2.01213,0.00839,0.93272,0.84848,0.90315,0.64954,1.09283,3.55364,0.01141,0.0016436,0.0016436,0.0016436
11,102.196,1.02369,1.79995,0.0079,0.77821,0.84848,0.86588,0.56734,1.33625,3.53562,0.0131,0.001604,0.001604,0.001604
12,110.067,1.09779,1.62521,0.0085,0.89858,0.80566,0.89708,0.60999,1.11357,2.86122,0.01082,0.0015644,0.0015644,0.0015644
13,119.987,0.97643,1.41784,0.00723,0.90472,0.78788,0.88782,0.67304,0.97257,2.46717,0.0094,0.0015248,0.0015248,0.0015248
14,129.414,1.0475,1.31821,0.00786,0.96131,0.87879,0.90277,0.64585,0.96755,2.26081,0.00956,0.0014852,0.0014852,0.0014852
15,137.926,0.96185,1.12286,0.00759,0.90586,0.90909,0.9155,0.65488,1.18464,1.87461,0.01182,0.0014456,0.0014456,0.0014456
16,148.016,1.03129,1.11661,0.00785,0.8943,0.78788,0.89881,0.69514,0.83865,1.67079,0.00758,0.001406,0.001406,0.001406
17,156.012,0.96812,1.02081,0.00748,0.96766,0.90667,0.9358,0.71431,0.79268,1.53121,0.00717,0.0013664,0.0013664,0.0013664
18,166.666,0.95524,0.95119,0.00722,0.92713,0.87879,0.93262,0.68663,0.88796,1.48968,0.00775,0.0013268,0.0013268,0.0013268
19,176.805,0.93572,0.85594,0.00701,0.96146,0.84848,0.91135,0.6402,1.0629,1.47544,0.00963,0.0012872,0.0012872,0.0012872
20,184.939,0.93654,0.8467,0.00725,0.88216,0.90743,0.9157,0.62864,1.19358,1.45771,0.01242,0.0012476,0.0012476,0.0012476
21,194.976,0.9351,0.79131,0.00702,0.94322,0.90909,0.93837,0.61484,1.24482,1.32797,0.01251,0.001208,0.001208,0.001208
22,204.676,0.8771,0.78126,0.00682,0.93721,0.90473,0.95022,0.65547,1.03988,0.95702,0.00965,0.0011684,0.0011684,0.0011684
23,212.881,0.86488,0.73815,0.00672,0.98917,0.87879,0.94381,0.62107,1.18132,1.11464,0.01136,0.0011288,0.0011288,0.0011288
24,222.757,0.84997,0.70221,0.00661,0.90853,0.90307,0.93471,0.6765,1.02077,1.11839,0.00961,0.0010892,0.0010892,0.0010892
25,230.699,0.85086,0.75647,0.00638,0.95502,0.90909,0.94019,0.68786,0.95959,0.89958,0.00888,0.0010496,0.0010496,0.0010496
26,240.763,0.76247,0.59359,0.00548,0.97854,0.87879,0.96666,0.71293,0.93893,0.99682,0.00864,0.00101,0.00101,0.00101
27,251.202,0.77367,0.61548,0.00595,0.90552,0.93939,0.9553,0.72927,0.87719,0.98424,0.00814,0.0009704,0.0009704,0.0009704
28,259.659,0.78326,0.6501,0.00599,0.93736,0.93939,0.95528,0.70577,0.92095,0.93805,0.00866,0.0009308,0.0009308,0.0009308
29,270.299,0.78943,0.59738,0.00609,0.93434,0.90909,0.93515,0.67553,0.90037,1.21844,0.00854,0.0008912,0.0008912,0.0008912
30,280.19,0.78325,0.59492,0.00617,0.96254,0.90909,0.95187,0.68847,1.07937,0.98885,0.01031,0.0008516,0.0008516,0.0008516
31,288.723,0.74324,0.5614,0.00521,0.95197,0.93939,0.97095,0.73441,0.87197,0.69935,0.00807,0.000812,0.000812,0.000812
32,299.554,0.73794,0.51317,0.0054,0.9601,0.87879,0.97145,0.72753,0.95759,0.66622,0.00904,0.0007724,0.0007724,0.0007724
33,309.206,0.72359,0.5035,0.00517,1,0.81321,0.95149,0.69903,0.94676,0.99725,0.00883,0.0007328,0.0007328,0.0007328
34,318.189,0.75363,0.51516,0.00545,0.96529,0.93939,0.96695,0.70541,0.9095,0.84565,0.00865,0.0006932,0.0006932,0.0006932
35,328.705,0.70094,0.488,0.00519,0.98534,0.93939,0.9793,0.73176,0.93187,0.64627,0.00885,0.0006536,0.0006536,0.0006536
