epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1914,1.11036,8.45545,0.00855,0.00267,0.94118,0.53009,0.38662,0.70577,13.3876,0.00589,0.00052,0.00052,0.00052
2,26.0029,1.1481,6.97508,0.0089,1,0.37496,0.87548,0.60744,0.96838,12.4774,0.00831,0.00103901,0.00103901,0.00103901
3,36.094,1.22494,6.1163,0.00949,0.72522,0.58824,0.7377,0.43741,1.22865,11.5069,0.01075,0.00153664,0.00153664,0.00153664
4,46.2868,1.16649,5.1184,0.00896,0.86417,0.74927,0.78748,0.50977,1.28979,9.20239,0.01172,0.0018812,0.0018812,0.0018812
5,57.1076,1.14601,3.95649,0.00839,0.85029,0.70588,0.8573,0.56595,1.21934,7.53011,0.011,0.0018416,0.0018416,0.0018416
6,67.3598,1.17819,3.3131,0.00926,0.92778,0.76471,0.86223,0.57019,1.2154,5.44858,0.01119,0.001802,0.001802,0.001802
7,76.9783,1.12417,2.76198,0.00869,0.75992,0.74558,0.82968,0.53383,1.20014,4.48977,0.01068,0.0017624,0.0017624,0.0017624
8,87.7603,1.10009,2.26008,0.00872,0.90019,0.76471,0.86888,0.6136,1.16252,3.37389,0.01062,0.0017228,0.0017228,0.0017228
9,98.503,1.16386,1.99555,0.00931,0.88178,0.87776,0.94393,0.67819,1.07716,2.39998,0.00957,0.0016832,0.0016832,0.0016832
10,108.509,0.9988,1.6489,0.0078,0.87046,0.88235,0.88633,0.60607,1.12277,2.57243,0.01025,0.0016436,0.0016436,0.0016436
11,119.897,1.08513,1.49424,0.00819,0.93492,0.88235,0.9603,0.69971,1.02538,1.89154,0.00869,0.001604,0.001604,0.001604
12,132.184,1.08928,1.2657,0.00811,0.97209,0.76471,0.93326,0.58354,1.38652,1.84877,0.01227,0.0015644,0.0015644,0.0015644
13,142.232,0.96853,1.14042,0.00726,0.94343,0.88235,0.95232,0.68131,1.00676,1.64744,0.00855,0.0015248,0.0015248,0.0015248
14,151.754,0.99154,1.0843,0.00769,0.94115,0.94073,0.96576,0.66744,1.14867,1.25447,0.01043,0.0014852,0.0014852,0.0014852
15,162.872,0.97334,0.96868,0.00757,0.93726,0.87897,0.94183,0.72861,0.93191,1.09795,0.00799,0.0014456,0.0014456,0.0014456
16,173.974,0.97479,0.89624,0.00761,0.98392,0.94118,0.98196,0.77325,0.85732,1.05229,0.00726,0.001406,0.001406,0.001406
17,182.992,0.97394,0.84185,0.00729,0.89664,0.82353,0.90796,0.68703,0.98742,1.07652,0.00882,0.0013664,0.0013664,0.0013664
18,194.602,0.98301,0.8393,0.0075,1,0.87552,0.96295,0.67789,1.24324,0.88057,0.01079,0.0013268,0.0013268,0.0013268
19,205.689,0.89809,0.78371,0.00745,1,0.92743,0.98974,0.74467,0.93561,0.68402,0.00806,0.0012872,0.0012872,0.0012872
20,214.677,0.88592,0.7591,0.00677,1,0.93618,0.98974,0.76873,0.89157,0.65368,0.00775,0.0012476,0.0012476,0.0012476
21,225.667,0.92906,0.7571,0.00701,0.94432,0.99785,0.98889,0.77472,0.87203,0.63397,0.00772,0.001208,0.001208,0.001208
22,236.967,0.90257,0.65494,0.00684,1,0.81703,0.957,0.67846,1.02992,1.01881,0.00916,0.0011684,0.0011684,0.0011684
23,245.955,0.89754,0.60949,0.00672,1,0.87469,0.96013,0.68906,1.08274,0.73541,0.00976,0.0011288,0.0011288,0.0011288
24,257.114,0.91602,0.67476,0.00708,0.85702,0.82353,0.89139,0.63323,1.01266,0.87348,0.00886,0.0010892,0.0010892,0.0010892
25,268.022,0.89642,0.59192,0.00663,0.88054,0.86784,0.90194,0.68709,1.01871,0.70009,0.00866,0.0010496,0.0010496,0.0010496
26,277.404,0.81002,0.51546,0.00627,0.87354,0.81325,0.88376,0.6403,1.04168,0.7817,0.0091,0.00101,0.00101,0.00101
