epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.3252,1.11036,8.45545,0.00855,0.00267,0.94118,0.53009,0.38662,0.70577,13.3876,0.00589,0.00052,0.00052,0.00052
2,46.1213,1.14149,6.97875,0.00885,0.85742,0.35386,0.83997,0.52847,1.16039,12.8597,0.01076,0.00102502,0.00102502,0.00102502
3,57.1364,1.20438,6.06371,0.00927,0.98071,0.41176,0.78945,0.38956,1.09024,11.4767,0.00978,0.0014944,0.0014944,0.0014944
4,66.7868,1.2103,5.03188,0.00948,0.90906,0.58803,0.74236,0.45103,0.98004,8.96662,0.00839,0.001802,0.001802,0.001802
5,76.7349,1.17729,3.8904,0.00884,0.92219,0.69773,0.86193,0.55453,1.3098,6.8376,0.0123,0.001736,0.001736,0.001736
6,88.0419,1.15615,3.23165,0.00911,0.82796,0.70588,0.76425,0.44497,1.36758,5.33007,0.01307,0.00167,0.00167,0.00167
7,98.5564,1.15182,2.72424,0.00893,0.7095,0.88235,0.85128,0.58633,1.28352,3.99725,0.01129,0.001604,0.001604,0.001604
8,107.854,1.08507,2.15809,0.0085,0.57455,0.95361,0.82446,0.5025,1.11858,3.38455,0.0094,0.001538,0.001538,0.001538
9,119.161,1.15649,2.00981,0.0091,0.81143,0.75965,0.82839,0.48637,1.56451,3.05226,0.01431,0.001472,0.001472,0.001472
10,129.499,1.0239,1.7309,0.00782,0.72715,0.9406,0.81461,0.51389,1.17526,2.34702,0.0103,0.001406,0.001406,0.001406
11,137.678,1.02126,1.50153,0.00756,0.87489,0.82353,0.9203,0.61572,1.13583,2.06642,0.00999,0.00134,0.00134,0.00134
12,148.636,0.96667,1.30849,0.00718,0.80514,0.94118,0.93913,0.61662,1.31453,1.99212,0.0119,0.001274,0.001274,0.001274
13,159.102,0.95776,1.19686,0.00707,0.87337,0.81199,0.89157,0.63734,1.06196,1.73665,0.00927,0.001208,0.001208,0.001208
14,168.449,0.91923,1.0922,0.00705,0.98114,0.76471,0.91373,0.69277,0.79797,1.50799,0.00671,0.001142,0.001142,0.001142
15,179.632,0.91713,1.04415,0.00684,0.88173,0.87739,0.85936,0.64532,0.93154,1.264,0.00791,0.001076,0.001076,0.001076
16,190.962,0.95925,0.96057,0.00734,0.84064,0.93137,0.92141,0.69952,0.99258,1.19659,0.00848,0.00101,0.00101,0.00101
17,200.755,0.88391,0.87076,0.00651,0.79963,0.93909,0.86243,0.63944,0.93877,1.26146,0.00825,0.000944,0.000944,0.000944
18,211.439,0.90738,0.8508,0.00674,0.93716,0.87753,0.94536,0.6874,0.97843,1.0708,0.00842,0.000878,0.000878,0.000878
19,222.076,0.8665,0.83826,0.00714,0.87761,0.94118,0.96167,0.62398,1.07405,0.9823,0.00933,0.000812,0.000812,0.000812
