epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.0843,1.07433,8.34541,0.00807,0.00267,0.9697,0.34713,0.24704,0.77802,15.7251,0.00729,0.00044,0.00044,0.00044
2,50.0098,1.11639,7.43955,0.0089,0.00225,0.81818,0.42775,0.22024,1.17994,15.9251,0.01202,0.0008703,0.0008703,0.0008703
3,57.9396,1.21072,6.36694,0.00954,0.83056,0.59445,0.70387,0.44894,1.11197,14.2052,0.01074,0.00127024,0.00127024,0.00127024
4,67.8999,1.13162,5.01232,0.0088,0.64948,0.60606,0.71969,0.4229,1.36646,12.2328,0.01431,0.00163982,0.00163982,0.00163982
5,76.6479,1.26957,4.39251,0.00981,0.64597,0.72727,0.70966,0.47866,1.09842,10.3742,0.01058,0.001736,0.001736,0.001736
6,86.9786,1.18316,3.65508,0.00919,0.79865,0.54545,0.71546,0.4735,1.19972,8.29143,0.01151,0.00167,0.00167,0.00167
7,97.5834,1.12987,3.16097,0.0087,0.69663,0.69697,0.77753,0.52397,1.18912,6.43256,0.01108,0.001604,0.001604,0.001604
8,106.394,1.13253,2.64152,0.00862,0.6789,0.89716,0.82741,0.54216,1.40649,5.47636,0.01369,0.001538,0.001538,0.001538
9,116.001,1.05948,2.31571,0.00828,0.81275,0.84848,0.83226,0.59983,1.08311,4.93914,0.01063,0.001472,0.001472,0.001472
10,126.342,1.07844,1.99096,0.00822,0.98678,0.72727,0.85459,0.55255,1.24943,4.46989,0.0124,0.001406,0.001406,0.001406
11,134.814,1.03823,1.85442,0.00799,0.94263,0.69697,0.8776,0.61496,0.9774,3.57149,0.00875,0.00134,0.00134,0.00134
12,145.348,1.08073,1.57947,0.0081,0.81918,0.69697,0.85708,0.63532,1.07711,3.68636,0.00998,0.001274,0.001274,0.001274
13,155.463,0.99091,1.41537,0.00733,0.8534,0.84848,0.94483,0.69245,0.97217,2.20706,0.00863,0.001208,0.001208,0.001208
14,163.85,0.98259,1.38001,0.00733,0.87757,0.93939,0.95352,0.66386,1.14688,2.05385,0.01096,0.001142,0.001142,0.001142
15,174.222,0.91689,1.15301,0.00715,0.85277,0.87761,0.90619,0.6686,0.90907,2.17464,0.008,0.001076,0.001076,0.001076
16,183.15,0.93712,1.08529,0.00706,0.94426,0.81818,0.91361,0.62631,1.0931,1.92214,0.01008,0.00101,0.00101,0.00101
17,191.477,0.91196,1.02578,0.00688,0.99512,0.75758,0.92605,0.71367,0.88324,1.54029,0.00823,0.000944,0.000944,0.000944
18,201.702,0.8624,0.99712,0.00654,0.84212,0.80836,0.88813,0.66232,0.92033,1.48646,0.00856,0.000878,0.000878,0.000878
19,209.598,0.82884,0.85423,0.00615,0.84847,0.93939,0.93119,0.66696,1.09825,1.51408,0.01036,0.000812,0.000812,0.000812
20,219.383,0.82642,0.82665,0.00642,0.88205,0.90648,0.92698,0.67685,0.94686,1.50751,0.00849,0.000746,0.000746,0.000746
21,231.8,0.77796,0.9714,0.00696,0.93706,0.90249,0.95002,0.71057,0.95835,1.55841,0.00894,0.00068,0.00068,0.00068
22,239.256,0.75448,0.87775,0.00662,0.91377,0.87879,0.9385,0.67415,1.03314,1.62075,0.00953,0.000614,0.000614,0.000614
23,249.008,0.74434,0.82901,0.00709,0.93003,0.84848,0.93483,0.69103,1.01504,1.25909,0.00918,0.000548,0.000548,0.000548
24,256.921,0.73812,0.74519,0.00679,0.90728,0.90909,0.94987,0.73328,0.8933,1.22952,0.00801,0.000482,0.000482,0.000482
25,266.464,0.71832,0.72713,0.00646,0.92482,0.90909,0.95121,0.70585,0.90811,1.2056,0.00827,0.000416,0.000416,0.000416
26,276.146,0.66368,0.72916,0.0059,0.93538,0.9697,0.95949,0.71608,0.9315,1.11026,0.00836,0.00035,0.00035,0.00035
27,283.397,0.69753,0.71635,0.0062,0.995,0.93939,0.972,0.71893,0.90693,1.03141,0.00823,0.000284,0.000284,0.000284
28,293.275,0.65036,0.61794,0.00546,1,0.93328,0.97127,0.70072,0.95279,1.05146,0.0086,0.000218,0.000218,0.000218
29,300.552,0.66934,0.64455,0.00594,0.9686,0.93485,0.96765,0.70419,0.92563,1.03238,0.00841,0.000152,0.000152,0.000152
30,310.097,0.6522,0.64543,0.0061,0.95906,0.93939,0.96899,0.7287,0.91008,1.01205,0.00829,8.6e-05,8.6e-05,8.6e-05
